Nr.;Anrede;Vorname;Nachname;Stadt;Alter;Bundesland
1;Herr;Flora;Remmel;Neumagen-Dhron;38;Rheinland-Pfalz
2;Herr;Wilfrid;Herpich;Kyllburgweiler;74;Rheinland-Pfalz
3;Frau;Karla;Janz;Wiebelsheim;66;Rheinland-Pfalz
4;Herr;Timmo;Schupp;Lykershausen;87;Rheinland-Pfalz
5;k.A.;Anni;Grützmacher;Poing;48;Bayern
6;k.A.;Margolf;Rogalla;Ahnsen;00;Niedersachsen
7;Herr;Joelle;Habel;Meinhard;18;Hessen
8;Herr;Wolfbert;Roeder;Gering;35;Rheinland-Pfalz
9;k.A.;Hildegunde;Kampf;Dernbach;99;Rheinland-Pfalz
10;Frau;Sieghard;Pross;Holzen;94;Niedersachsen
11;Herr;Elizabeth;Picht;Runkel;16;Hessen
12;Frau;Burghardt;Schmelter;Bochum;12;Nordrhein-Westfalen
13;Frau;Sebastian;Bey;Holzheim;84;Bayern
14;Herr;Benno;Püschel;Wetzlar;60;Hessen
15;Frau;Ekkehard;Glasmacher;Unterwachingen;55;Baden-Württemberg
16;Frau;Henriette;Schiel;Schorndorf;14;Bayern
17;Frau;Gunfried;Weidler;Dortmund;09;Nordrhein-Westfalen
18;Herr;Heimwald;Sieger;Kall;99;Nordrhein-Westfalen
19;Herr;Rolf;Harke;Oberbrombach;00;Rheinland-Pfalz
20;Herr;Hartlieb;Gust;Wippingen;37;Niedersachsen
21;Herr;Iris;Klemp;Bechhofen an der Heide;39;Bayern
22;Herr;Meikel;Speer;Mönchengladbach;23;Nordrhein-Westfalen
23;Herr;Folkhart;Häussler;Eime;20;Niedersachsen
24;Frau;Rotraut;Liebing;Neichen;70;Rheinland-Pfalz
25;k.A.;Dorina;Hundt;Neuburg am Rhein;93;Rheinland-Pfalz
26;Herr;Mayk;Steudel;Sulzbach;92;Saarland
27;Herr;Rosehilde;Rieckmann;Halle;88;Niedersachsen
28;Herr;Ingelene;Weers;Dannstadt-Schauernheim;97;Rheinland-Pfalz
29;Frau;Bringfriede;Reck;Ranschbach;41;Rheinland-Pfalz
30;Herr;Swanhild;Vogelgesang;Burgoberbach;43;Bayern
31;Frau;Friedwald;Schaffer;Sarlhusen;48;Schleswig-Holstein
32;Herr;Xaver;Apitz;Schiesheim;33;Rheinland-Pfalz
33;Frau;Denny;Eisermann;Lübeck;22;Schleswig-Holstein
34;Frau;Franziska;Kabus;Bad Laasphe;30;Nordrhein-Westfalen
35;Herr;Arnolf;Frahm;Nürnberg;99;Bayern
36;Frau;Ortfried;Sutor;Hainburg;58;Hessen
37;Herr;Sigrun;Kniep;Wackersberg;80;Bayern
38;Herr;Dieterich;Benthien;Beilstein;09;Rheinland-Pfalz
39;Frau;Theofried;Frühauf;Drage;84;Schleswig-Holstein
40;Herr;Jean;Bruder;Waldhof-Falkenstein;23;Rheinland-Pfalz
41;Herr;Malte;Neumeier;Kiebitzreihe;19;Schleswig-Holstein
42;k.A.;Rainhard;Bröhl;Nieder-Wiesen;60;Rheinland-Pfalz
43;Frau;Liselore;Schirmer;Pommerby;66;Schleswig-Holstein
44;Frau;Rike;Hajek;Hameln;33;Niedersachsen
45;Herr;Hartger;Hannssen;Rathjensdorf;98;Schleswig-Holstein
46;Frau;Irmfried;Flame;Rostock;08;Mecklenburg-Vorpommern
47;Frau;Erna;Schiele;Rhede;37;Niedersachsen
48;Herr;Sieglinde;Doose;Wyhl am Kaiserstuhl;21;Baden-Württemberg
49;Herr;Annerike;Hopf;Dieblich;89;Rheinland-Pfalz
50;k.A.;Rigbert;Küchler;Dormagen;12;Nordrhein-Westfalen
51;Frau;Hanshermann;Metzner;Köwerich;41;Rheinland-Pfalz
52;Herr;Herrmann;Bender;Zellertal;60;Rheinland-Pfalz
53;Frau;Tobias;Heck;Stuttgart;01;Baden-Württemberg
54;k.A.;Patricia;Wamser;Greimerath;49;Rheinland-Pfalz
55;Herr;Zoé;Grüter;Dreifelden;63;Rheinland-Pfalz
56;Herr;Irmengard;Rieg;Niederahr;76;Rheinland-Pfalz
57;Herr;Vitalis;Holzapfel;Jagel;62;Schleswig-Holstein
58;Herr;Viktor;Weide;Schönau am Königssee;29;Bayern
59;k.A.;Alwin;Czaja;Koldenbüttel;10;Schleswig-Holstein
60;Herr;Rigbert;Weth;Martinroda;68;Thüringen
61;Herr;Alban;Liebetrau;Bremen;38;Bremen
62;Frau;Eveline;Hochmuth;Betzenweiler;93;Baden-Württemberg
63;Frau;Lars;Eitel;Urschmitt;41;Rheinland-Pfalz
64;Frau;Stilla;Späth;Dorstadt;75;Niedersachsen
65;Frau;Theo;Schaeffer;Karow;96;Sachsen-Anhalt
66;Frau;Ivo;Münzner;Blekendorf;16;Schleswig-Holstein
67;Herr;Sieghart;Rauscher;Barkenholm;33;Schleswig-Holstein
68;Herr;Bärbl;Reise;Münk;56;Rheinland-Pfalz
69;Frau;Andree;Merx;Esslingen am Neckar;66;Baden-Württemberg
70;Herr;Sighilde;Trede;Sonnschied;17;Rheinland-Pfalz
71;Herr;Folker;Zink;Ziegenhain;05;Rheinland-Pfalz
72;k.A.;Erhardt;Kühler;Hattenhofen;55;Baden-Württemberg
73;Frau;Janett;Roser;Nörtershausen;10;Rheinland-Pfalz
74;Frau;Kristian;Soller;Dortmund;99;Nordrhein-Westfalen
75;Frau;Nicholas;Geck;Strotzbüsch;78;Rheinland-Pfalz
76;Herr;Isidor;Schiffler;Rollshausen;16;Niedersachsen
77;Herr;Gismar;Habel;Dorsten;28;Nordrhein-Westfalen
78;k.A.;Tara;Jones;Dortmund;13;Nordrhein-Westfalen
79;Herr;Birk;Schwarting;Marihn;25;Mecklenburg-Vorpommern
80;Frau;Helbert;Hale;Koldenbüttel;28;Schleswig-Holstein
81;Frau;Fabienne;Hamberger;Nachtsheim;28;Rheinland-Pfalz
82;Frau;Ingunde;Fox;Stuttgart;75;Baden-Württemberg
83;Herr;Ehrenreich;Isermann;Wutöschingen;82;Baden-Württemberg
84;Frau;Anneliese;Reiber;Sonnen;11;Bayern
85;Herr;Hansjörg;Dietrich;Sessenhausen;06;Rheinland-Pfalz
86;Herr;Gertraut;Maus;Chemnitz;14;Sachsen
87;Herr;Woldemar;Wittner;Schönbek;78;Schleswig-Holstein
88;Herr;Hartwig;Stadler;Kasbach-Ohlenberg;65;Rheinland-Pfalz
89;Herr;Lion;Gatz;Bad Heilbrunn;16;Bayern
90;Herr;Gerd;Wilk;Goldbach;65;Bayern
91;Frau;Leberecht;Steinmetz;Gemünden am Main;65;Bayern
92;k.A.;Janfried;Wölfl;Sachsenheim;07;Baden-Württemberg
93;Herr;Theodolinde;Walk;Garding;73;Schleswig-Holstein
94;Frau;Stephanus;Sippl;Saarlouis;50;Saarland
95;Frau;Erno;Monsees;Stuttgart;35;Baden-Württemberg
96;Frau;Elvire;Tippmann;Gingen an der Fils;80;Baden-Württemberg
97;Herr;Lynn;Gans;Frankfurt am Main;35;Hessen
98;Frau;Sara;Maibaum;Spall;99;Rheinland-Pfalz
99;Herr;Otthart;Kempken;Legau;90;Bayern
100;Frau;Ulwin;Liebmann;Espelkamp;78;Nordrhein-Westfalen
101;Herr;Tell;Borm;Oberursel;32;Hessen
102;Frau;Ellen;Vollert;Eggenfelden;45;Bayern
103;Frau;Falk;Büdenbender;Ohmden;38;Baden-Württemberg
104;Herr;Joerg;Stoye;Celle;02;Niedersachsen
105;Herr;Dario;Feddersen;Dommershausen;18;Rheinland-Pfalz
106;Herr;Maren;Uzun;Velen;47;Nordrhein-Westfalen
107;Frau;Bernfried;Ruhnke;Darmstadt;39;Hessen
108;Herr;Annemaria;Schlingmann;Pritzwalk;18;Brandenburg
109;Herr;Thilo;Bülow;Ottenstein;07;Niedersachsen
110;Herr;Angelika;Eicher;Waiblingen;19;Baden-Württemberg
111;Frau;Kaja;Siedler;Krembz;06;Mecklenburg-Vorpommern
112;Herr;Sidonius;Drechsler;Etgert;91;Rheinland-Pfalz
113;Herr;Margolf;Hauschildt;Unna;73;Nordrhein-Westfalen
114;Herr;Isidor;Dahl;Bad Salzdetfurth;79;Niedersachsen
115;Herr;Hanswolf;Raffel;Offenbach am Main;31;Hessen
116;Herr;Traugott;Ganter;Augsburg;93;Bayern
117;Frau;Frohlinde;Rumpf;Waiblingen;04;Baden-Württemberg
118;Frau;Marietraud;Falter;Böblingen;14;Baden-Württemberg
119;Herr;Seibold;Hüter;Augsburg;84;Bayern
120;Herr;Hermann;Piller;Iserlohn;55;Nordrhein-Westfalen
121;Herr;Noa;Theisen;Stahlhofen am Wiesensee;39;Rheinland-Pfalz
122;k.A.;Frohmund;Emmel;Kobern-Gondorf;69;Rheinland-Pfalz
123;Herr;Gotlind;Schott;Habichtswald;97;Hessen
124;Frau;Elizabeth;Kreuz;Itzstedt;19;Schleswig-Holstein
125;Herr;Hannelotte;Erben;Darmstadt;16;Hessen
126;Frau;Rosemie;Mosig;Emmendorf;89;Niedersachsen
127;Herr;Adelheide;Höhmann;Stadtkyll;92;Rheinland-Pfalz
128;Herr;Erkhild;Liebert;Schlierschied;26;Rheinland-Pfalz
129;Frau;Rigbert;Leistner;Hannover;06;Niedersachsen
130;Herr;Wilfried;Hepp;Utersum;38;Schleswig-Holstein
131;Herr;Ekkehart;Janka;Hentern;85;Rheinland-Pfalz
132;Herr;Wilhelma;Baldus;Altfraunhofen;01;Bayern
133;Frau;Ehrentrud;Frantz;Schwalmtal;91;Nordrhein-Westfalen
134;Frau;Loreliese;Brennecke;Bremen;27;Bremen
135;Frau;Amy;Wendland;Altweidelbach;47;Rheinland-Pfalz
136;k.A.;Gernod;Holsten;Uichteritz;61;Sachsen-Anhalt
137;k.A.;Stephania;Artmann;Alerheim;68;Bayern
138;Frau;Karsta;Massing;Gilzem;46;Rheinland-Pfalz
139;Herr;Bennet;Boll;Dalheim;63;Rheinland-Pfalz
140;Herr;Ludger;Josten;Singen;46;Baden-Württemberg
141;Frau;Rosamarie;Janker;Winnweiler;94;Rheinland-Pfalz
142;k.A.;Gernulf;Staub;Dürrholz;52;Rheinland-Pfalz
143;Frau;Burgfried;Maute;Königsheim;59;Baden-Württemberg
144;Frau;Manuela;Germann;Kirchheim unter Teck;81;Baden-Württemberg
145;Herr;Lya;Beckert;Bruschied;76;Rheinland-Pfalz
146;Herr;Hanspeter;Höhmann;Wuppertal;09;Nordrhein-Westfalen
147;k.A.;Freddy;Bläser;Trogen;79;Bayern
148;Frau;Alex;Gonsior;Mühlenrade;66;Schleswig-Holstein
149;Frau;Berno;Kiel;Jameln;79;Niedersachsen
150;Frau;Aloisius;Reiss;Malsburg-Marzell;04;Baden-Württemberg
151;Herr;Borromäus;Kluck;Mengerskirchen;37;Hessen
152;Herr;Gundela;Freimann;Seester;83;Schleswig-Holstein
153;Frau;Walfried;Sepp;Lübs;50;Sachsen-Anhalt
154;k.A.;Valerian;Mertz;Wiernsheim;83;Baden-Württemberg
155;Frau;Berni;Dotzauer;Ohne;79;Niedersachsen
156;k.A.;Erkhild;Salomon;Grafenau;86;Bayern
157;Herr;Zilli;Köhne;Feucht;68;Bayern
158;Herr;Xaverius;Ramos;Uppershausen;46;Rheinland-Pfalz
159;Herr;Alina;Zauner;Hamm;18;Nordrhein-Westfalen
160;Herr;Helmut;Kirschke;Giesdorf;89;Rheinland-Pfalz
161;Herr;Heiner;Christ;Möhnesee;06;Nordrhein-Westfalen
162;k.A.;Ernestine;Jopp;Leiferde;11;Niedersachsen
163;Frau;Elfriede;Blunk;Hamburg;41;Hamburg
164;Herr;Alwine;Bitterlich;Lübeck;34;Schleswig-Holstein
165;Herr;Karsten;Röcker;Wilnsdorf;73;Nordrhein-Westfalen
166;k.A.;Aribert;Matern;Grapzow;72;Mecklenburg-Vorpommern
167;Herr;Tiberius;Bernert;Schüttorf;51;Niedersachsen
168;Herr;Trude;Böhme;Bischweier;50;Baden-Württemberg
169;Herr;Hedy;Benzing;Pürgen;64;Bayern
170;Frau;Friedlind;Carle;Augsburg;13;Bayern
171;Herr;Annik;Siegert;Krefeld;57;Nordrhein-Westfalen
172;Frau;Ottokar;Luther;Heroldsberg;41;Bayern
173;Herr;Caja;Weigel;Tannheim;74;Baden-Württemberg
174;Frau;Ricardo;Uhr;Burk;68;Bayern
175;Frau;Maximiliane;Gutjahr;Dülmen;91;Nordrhein-Westfalen
176;Herr;Burga;Pfeuffer;Zangberg;11;Bayern
177;Herr;Marko;Gerdes;Gorleben;54;Niedersachsen
178;Frau;Sabrina;Hülsmann;Bargstall;62;Schleswig-Holstein
179;Frau;Mania;Riffel;Sauerthal;20;Hessen
180;Herr;Lennox;Jaschke;Kirchheim;56;Bayern
181;Frau;Korinna;Streb;Buchenberg;18;Bayern
182;Frau;Dorena;Graap;Nerenstetten;84;Baden-Württemberg
183;Herr;Dinah;Dettmann;Berglen;53;Baden-Württemberg
184;Frau;Wendelgard;Rosenzweig;Egelsbach;31;Hessen
185;k.A.;Liliane;Krasniqi;Hungenroth;47;Rheinland-Pfalz
186;k.A.;Velten;Weirauch;Linkenbach;54;Rheinland-Pfalz
187;k.A.;Hannspeter;Siegel;Kaifenheim;17;Rheinland-Pfalz
188;Frau;Rüdiger;Weichert;Besigheim;23;Baden-Württemberg
189;Frau;Lukas;Schaar;Perl;28;Saarland
190;Herr;Friedburg;Luksch;Niederirsen;59;Rheinland-Pfalz
191;Frau;Waldfried;Ehrlich;Bergen an der Dumme;74;Niedersachsen
192;Herr;Wilhardt;Rehberg;Hoogstede;12;Niedersachsen
193;Herr;Oswald;Boller;Bendorf;53;Schleswig-Holstein
194;Herr;Mareen;Wade;Lauterstein;66;Baden-Württemberg
195;Frau;Jessica;Diaz;Isernhagen;80;Niedersachsen
196;Frau;Sebald;Hellmuth;Unterwaldhausen;43;Baden-Württemberg
197;Herr;Christian;Baumert;Schechingen;26;Baden-Württemberg
198;Herr;Sieghart;Klimke;Neunkirchen;64;Rheinland-Pfalz
199;Frau;Mathis;Bulling;Ellscheid;71;Rheinland-Pfalz
200;Frau;Yasmin;Biller;Wirges;92;Rheinland-Pfalz
201;Herr;Jaqueline;Renn;Kronweiler;45;Rheinland-Pfalz
202;Frau;Evelore;Vorbeck;Groß Schenkenberg;83;Schleswig-Holstein
203;Frau;Sighilde;Sterz;Hallgarten;17;Rheinland-Pfalz
204;Frau;Damian;Frommelt;Gera;25;Thüringen
205;Frau;Hannah;Erdem;Buttenwiesen;22;Bayern
206;k.A.;Fridegund;Tröger;Holtorf;74;Niedersachsen
207;Frau;Finnja;Philipps;Bötzingen;78;Baden-Württemberg
208;Frau;Myrjam;Eck;Rheinau;83;Baden-Württemberg
209;Herr;Heiner;Ahl;Oberndorf am Lech;02;Bayern
210;Herr;Ottkar;Schmücker;Ockholm;81;Schleswig-Holstein
211;Frau;Resilotte;Zeiler;Bärenbach;12;Baden-Württemberg
212;Frau;Friederike;Sen;Krüzen;20;Schleswig-Holstein
213;k.A.;Sonja;Eberhardt;Beilstein;59;Rheinland-Pfalz
214;Frau;Herward;Miksch;Hohenlockstedt;64;Schleswig-Holstein
215;Frau;Brünhild;Fernandez;Kirchsahr;66;Rheinland-Pfalz
216;Herr;Karl;Diedrichs;Niederhorbach;91;Rheinland-Pfalz
217;Frau;Irmintraud;Schiffer;Matzerath;81;Rheinland-Pfalz
218;Herr;Leander;Masuch;Zusamaltheim;88;Bayern
219;Herr;Matthäus;Raisch;Weinolsheim;32;Rheinland-Pfalz
220;Frau;Ehrentraud;Brosig;Lütjenholm;58;Schleswig-Holstein
221;Frau;Rudolfina;Kellner;Hecken;15;Rheinland-Pfalz
222;Herr;Hermann;Pörschke;Kirchbrak;91;Niedersachsen
223;Frau;Franzi;Sherman;Duisburg;84;Nordrhein-Westfalen
224;Frau;Ella;Mühlberger;Scheggerott;12;Schleswig-Holstein
225;Frau;Erich;Wessels;Köln;00;Nordrhein-Westfalen
226;Herr;Bringfriede;Wichmann;Bielefeld;61;Nordrhein-Westfalen
227;Frau;Tommy;Himstedt;Bodenmais;47;Bayern
228;Herr;Gabriela;Lausberg;Nieste;47;Hessen
229;Frau;Hansheinz;Hell;Hilter am Teutoburger Wald;58;Niedersachsen
230;Herr;Gangolf;Scheck;Duisburg;39;Nordrhein-Westfalen
231;Herr;Dore;Liebe;Köngernheim;53;Rheinland-Pfalz
232;Frau;Ortrun;Lerch;Steinfeld;33;Niedersachsen
233;Herr;Udo;Langbein;Apelern;65;Niedersachsen
234;Frau;Rebecka;Eschbach;Bechhofen;60;Rheinland-Pfalz
235;Herr;Sönke;Thurn;Mörsbach;47;Rheinland-Pfalz
236;Frau;Cyrill;Henseleit;Drakenburg;68;Niedersachsen
